"parent_id,""child_id"""
"ch_managers_1,ch_ost_document_ticket_1"
"ch_managers_exclusion,ch_hr_users"
"ch_mortgage_actions,ch_pokaz_ries_mobile"
"ch_my_reclame,ch_object_care_all"
"ch_newcomplex,ch_deals_new"
"ch_newhouses_gp,ch_deals_new"
"ch_newhouses_gp,ch_pokaz_ries_mobile"
"ch_object_additional_fields,ch_objects_all_fields"
"ch_object_exchange,ch_object_care_all"
"ch_objects,ch_all_analitic_likvid"
"ch_objects,ch_converse_deposit"
"ch_objects,ch_object_care_all"
"ch_objects,ch_objects_all_fields"
"ch_objects,ch_voronka_ticket_buyer"
"ch_objects,diff_all_analitic_likvid"
"ch_objects_add_features,ch_objects_all_fields"
"ch_objects_add_features,diff_objects_all_fields"
"ch_objects_add_features_more,ch_objects_all_fields"
"ch_objects_all_fields,ch_converse_deposit"
"ch_objects_all_fields,ch_deals_new"
"ch_objects_all_fields,ch_object_care_all"
"ch_objects_all_fields,ch_pokaz_ries_mobile"
"ch_objects_all_fields,ch_ticket_potrebnosti"
"ch_offices,ch_objects_all_fields"
"ch_offices,diff_objects_all_fields"
"ch_ost_contract_commission,ch_deals_new"
"ch_ost_contract_commission_inf,ch_deals_new"
"ch_ost_deals_data,ch_deals_new"
"ch_ost_documents,ch_object_care_all"
"ch_ost_documents,ch_tickets_for_232"
"ch_ost_documents,ch_voronka_ticket_buyer"
"ch_ost_documents_1,ch_ost_document_ticket_1"
"ch_ost_document_ticket_1,ch_booking_notifications_1"
"ch_ost_events,ch_pokaz_ries_mobile"
"ch_ost_events,ch_voronka_ticket_buyer"
"ch_ost_events_info,ch_pokaz_ries_mobile"
"ch_ost_events_info,ch_voronka_ticket_buyer"
"ch_ost_events_show_mark,ch_pokaz_ries_mobile"
"ch_ost_field_values,ch_voronka_ticket_buyer"
"ch_ost_purchaser,ch_ticket_potrebnosti"
"ch_ost_saved_objects,ch_voronka_ticket_buyer"
"ch_ost_ticket,ch_converse_deposit"
"ch_ost_ticket,ch_deals_new"
"ch_ost_ticket,ch_mortgage_actions"
"ch_ost_ticket,ch_object_care_all"
"ch_ost_ticket,ch_objects_all_fields"
"ch_ost_ticket,ch_pokaz_ries_mobile"
"ch_ost_ticket,ch_ticket_care_all"
"ch_ost_ticket,ch_ticket_potrebnosti"
